"issueId";0;"issueTypeCode"
131618;"O_CO08";"R_4F07"
138595;"O_HU01";"O_CR07"
156914;"O_CR06";"O_CR01"
173127;"O_CO01";"O_CR09"
193277;"S_CO02";"S_CO01"
201575;"O_CO06";"O_CO06"
226041;"S_CO04";"S_CO04"
249887;"O_CO01";"O_CO01"
275961;"O_CO03";"O_CO03"
285230;"D_4F01";"S_CO04"
318927;"O_CO08";"O_CO08"
319055;"D_4F01";"D_4F01"
322765;"O_CO04";"S_CO02"
341319;"O_CO06";"O_CO06"
347537;"O_CO08";"O_CO08"
366149;"O_CO08";"M_4F01"
367231;"O_CO08";"O_CO08"
373244;"S_CO04";"S_CO04"
373292;"S_CO01";"R_4F05"
403747;"D_4F01";"O_CO08"
414325;"O_CO04";"O_CO02"
421656;"D_4F01";"D_4F01"
429609;"O_CO06";"O_CO06"
429701;"O_CO06";"O_CO06"
436789;"O_CO02";"O_CO03"
436802;"O_CO02";"O_CO02"
436806;"O_CO02";"O_CO02"
436809;"O_CO02";"O_CO02"
436811;"O_CO02";"O_CO02"
436813;"O_CO02";"O_CO02"
436815;"O_CO02";"O_CO02"
436817;"O_CO02";"O_CO02"
437118;"D_4F01";"D_4F01"
437119;"D_4F01";"D_4F01"
444406;"D_4F01";"D_4F01"
451672;"D_4F01";"D_4F01"
459194;"D_4F01";"O_CO08"
460679;"D_4F01";"O_CR06"
461808;"O_HU01";"O_HU01"
463284;"O_CO08";"O_CO08"
463534;"R_4F07";"O_CR07"
472194;"O_CO02";"O_CO02"
476614;"D_4F01";"D_4F01"
476760;"R_4F04";"R_4F03"
487258;"O_CR07";"R_4F09"
491812;"O_CO08";"O_CO08"
498099;"O_CR01";"O_CR01"
501639;"O_CR01";"O_CR01"
511455;"O_CO01";"D_4F01"
525586;"O_CO02";"O_CO03"
525591;"O_CO02";"O_CO02"
525592;"O_CO02";"O_CO02"
525593;"O_CO02";"O_CO02"
525594;"O_CO02";"O_CO02"
525595;"O_CO02";"O_CO02"
526259;"D_4F01";"D_4F01"
526260;"D_4F01";"D_4F01"
535177;"O_CR02";"O_CR02"
537469;"O_CO08";"O_CO04"
539867;"D_4F01";"D_4F01"
539869;"D_4F01";"D_4F01"
539870;"D_4F01";"D_4F01"
539872;"D_4F01";"D_4F01"
540132;"S_CO03";"S_CO03"
550910;"O_CR07";"D_4F01"
551378;"O_CO02";"O_CO02"
551404;"O_HU01";"O_HU01"
551646;"O_HU01";"O_HU01"
560220;"D_4F01";"D_4F01"
562433;"O_HU01";"O_HU01"
566101;"O_CO02";"O_CO02"
567117;"S_CO01";"S_CO01"
568162;"O_RE03";"O_RE03"
568281;"S_CO01";"O_CO04"
568290;"O_CO02";"O_CO02"
568685;"D_4F01";"D_4F01"
568835;"D_4F01";"D_4F01"
569825;"O_CR01";"O_CR02"
571311;"O_CO02";"O_CO04"
571338;"O_CR01";"O_CR01"
571343;"O_CO03";"O_CO03"
581043;"O_CO02";"O_CO03"
581045;"O_CO02";"O_CO03"
581054;"O_CO02";"O_CO02"
581055;"O_CO03";"O_CO02"
581058;"O_CO02";"O_CO02"
581067;"O_CO02";"O_CO02"
581071;"O_CO02";"O_CO02"
581073;"O_CO02";"O_CO02"
582060;"D_4F01";"D_4F01"
582065;"D_4F01";"D_4F01"
591028;"R_4F09";"R_4F09"
591061;"D_4F01";"D_4F01"
601958;"O_CO06";"O_CO06"
604654;"S_CO03";"S_CO03"
605128;"O_RE03";"R_4F09"
607470;"D_4F01";"R_4F09"
613492;"O_CO08";"O_CO08"
613666;"D_4F01";"D_4F01"
613809;"O_CO06";"O_CO06"
625993;"S_CO04";"S_CO04"
635310;"O_CO08";"O_CO08"
635363;"O_CO08";"O_CO08"
646515;"O_CO03";"O_CO03"
656776;"O_CR01";"O_CR01"
671637;"O_CO02";"O_CO02"
673120;"D_4F01";"D_4F01"
673121;"D_4F01";"D_4F01"
677966;"O_CO08";"O_CO08"
678256;"D_4F01";"D_4F01"
678582;"O_CR03";"O_CO03"
678831;"S_CO04";"O_CO07"
678858;"D_4F01";"O_CR06"
679297;"S_CO04";"S_CO04"
679356;"O_CR01";"O_CR01"
679358;"O_CR01";"O_CR01"
681390;"D_4F01";"D_4F01"
681461;"D_4F01";"O_HU06"
682608;"O_CO02";"O_CO02"
682643;"O_HU01";"O_HU02"
682764;"O_CO06";"O_CO06"
684153;"S_CO04";"S_CO04"
684686;"O_CO08";"O_CO08"
685873;"O_CO08";"O_CR04"
693957;"O_CR01";"O_CR01"
704449;"O_CO02";"O_CO03"
704450;"O_CO02";"O_CO03"
704453;"O_CO02";"O_CO03"
704459;"O_CO02";"O_CO02"
706286;"D_4F01";"D_4F01"
706287;"D_4F01";"D_4F01"
712106;"O_CR06";"O_CR06"
712162;"O_CO08";"O_CO08"
712175;"O_CO01";"O_CR07"
712432;"O_CO08";"O_CO08"
712439;"O_CO08";"D_4F01"
712508;"D_4F01";"O_CO08"
712514;"D_4F01";"D_4F01"
712730;"O_CR06";"O_CR06"
713078;"O_CO06";"O_CO06"
713088;"O_CO06";"O_CO06"
714165;"D_4F01";"D_4F01"
714168;"D_4F01";"D_4F01"
715134;"O_CO08";"O_CO08"
715159;"O_CO03";"O_CO03"
715391;"O_CO03";"O_CO03"
716786;"O_HU06";"O_HU06"
716787;"O_HU06";"O_HU06"
726660;"O_RE03";"O_RE03"
727806;"O_CO02";"O_CO02"
728248;"O_HU01";"O_HU02"
729045;"O_CO02";"O_CO03"
729052;"O_CO02";"O_CO02"
729054;"O_CO02";"O_CO02"
735721;"D_4F01";"D_4F01"
743897;"O_CO08";"O_CO08"
744011;"O_CO06";"O_CO06"
744028;"O_CO06";"O_CO06"
744064;"R_4F09";"R_4F09"
744306;"O_CO02";"O_CO02"
744637;"S_CO04";"S_CO04"
744945;"S_CO04";"S_CO04"
745226;"R_4F03";"O_CR01"
745518;"O_CR01";"O_CR01"
745526;"O_CO06";"O_CO06"
749461;"O_CO01";"D_4F01"
749596;"D_4F01";"D_4F01"
750213;"S_CO04";"S_CO04"
751974;"O_CO02";"O_CO02"
755997;"D_4F01";"D_4F01"
759180;"O_CO08";"O_CO08"
759183;"O_CO08";"O_CO08"
759576;"O_HU01";"O_CR06"
759737;"D_4F01";"D_4F01"
759796;"O_CO03";"O_CO03"
759998;"O_CO08";"O_CO08"
760139;"O_CO03";"O_CO03"
760756;"O_CO02";"O_CO02"
761112;"O_CO08";"O_CO08"
761193;"O_CO08";"O_CO08"
761293;"O_CO03";"O_CO03"
761469;"O_CO01";"O_CR06"
761989;"O_CR01";"O_CR01"
762167;"O_CR06";"O_CR06"
762202;"D_4F01";"O_CR06"
762832;"O_CO03";"O_CO03"
762869;"O_CO02";"O_CO03"
762875;"O_CO02";"O_CO02"
766770;"D_4F01";"D_4F01"
769427;"O_CO08";"O_CO01"
772159;"O_CR01";"O_CR01"
772162;"O_CR01";"O_CR01"
772164;"O_CR01";"O_CR01"
773349;"O_CO02";"O_CO02"
773380;"O_CO02";"O_CO02"
773400;"O_CO02";"O_CO02"
777024;"O_CO08";"O_CO08"
778419;"O_CO01";"O_CR09"
781859;"D_4F01";"D_4F01"
782119;"D_4F01";"O_CO08"
782221;"O_CR02";"O_CR07"
782637;"O_CO02";"O_CO02"
786273;"O_CR01";"O_CR01"
786274;"O_CR01";"O_CR01"
786275;"O_CR01";"O_CR01"
786827;"D_4F01";"D_4F01"
786960;"D_4F01";"D_4F01"
787410;"O_CR01";"O_CR01"
787412;"O_CR01";"O_CR01"
787426;"O_CO08";"O_CO08"
787503;"D_4F01";"D_4F01"
787676;"S_CO04";"S_CO04"
787677;"S_CO03";"O_CO02"
787743;"O_CO04";"O_CR07"
810051;"O_CR01";"O_CR01"
810063;"O_CR06";"O_CR07"
810749;"S_CO03";"O_CR03"
810881;"O_CO04";"O_CO02"
811008;"O_CO01";"O_CO01"
811116;"S_CO01";"S_CO01"
811684;"O_CO03";"O_CO03"
811704;"O_CO03";"O_CO03"
811770;"O_CR07";"O_RE02"
811843;"S_CO04";"S_CO04"
813352;"O_CR07";"D_4F01"
817178;"O_CO02";"O_CO03"
817180;"O_CO02";"O_CO03"
817181;"O_CO03";"O_CO03"
817186;"O_CO02";"O_CO02"
817187;"O_CO02";"O_CO02"
817190;"O_CO02";"O_CO02"
817272;"D_4F01";"D_4F01"
817487;"O_CR06";"O_CR06"
817721;"O_CO08";"O_CO08"
818000;"O_CR01";"O_CR01"
818127;"D_4F01";"D_4F01"
818785;"S_CO01";"S_CO01"
819050;"S_CO04";"S_CO04"
820083;"R_4F06";"R_4F06"
